cluster,unref,deep,orga,blocks,procrastination,perfectionism,innateability,ktransforming,productivity,no,gender,faculty,studentstatus,studylength,writingcourse,monthsamel
1,2,4.5,4.66666666666667,2,2.5,2.33333333333333,1,3,3.25,184,2,8,4,22,5,100
2,2.33333333333333,4.25,2.66666666666667,2,2,2,1,4,2.25,185,1,8,2,22,15,150
1,4.33333333333333,5,4,2.33333333333333,4.75,3.33333333333333,3,3.66666666666667,3.5,186,1,9,4,22,24,0
3,4.66666666666667,2.25,1.33333333333333,5,4.5,5,4.5,1,2.75,187,1,2,1,6,13,40
1,1.33333333333333,4.5,4.33333333333333,2.33333333333333,3.25,1.33333333333333,1,4,1.5,188,1,8,1,27,3,1
1,2,3.75,3.66666666666667,1.66666666666667,2,2.33333333333333,1,4.66666666666667,3.5,189,2,8,3,57,0,0
2,1.66666666666667,3.5,2.66666666666667,3.66666666666667,3.75,2.33333333333333,1,4,2,190,1,9,1,6,0,2
1,2,3.5,3.66666666666667,2.66666666666667,3.25,3,2.5,3.66666666666667,2.25,191,2,6,1,9,4,24
1,2,4,4.33333333333333,2.33333333333333,2.5,2,2,3.33333333333333,2.75,192,2,8,3,45,0,30
1,1.33333333333333,4.5,3.66666666666667,2.33333333333333,4,2,2.5,5,3,193,2,2,1,99,0,0
2,1.66666666666667,4,3.33333333333333,3,3.5,3.66666666666667,2.5,4,1.5,194,2,6,3,57,0,0
1,1.66666666666667,4.25,4,1,2,1,2,3.66666666666667,3.75,195,1,2,4,9,2,3
2,2.33333333333333,3.75,3.33333333333333,1.66666666666667,3.25,2.33333333333333,2,3.66666666666667,2.75,196,1,1,3,69,12,14
1,1.66666666666667,4,4,2.66666666666667,3.25,3.33333333333333,2.5,4,3.25,197,2,4,1,9,20,16
2,1.66666666666667,3.75,1.66666666666667,2.33333333333333,3.75,1.33333333333333,2,3.66666666666667,2.5,198,2,9,1,33,2,15
1,1.66666666666667,4,4.33333333333333,3.33333333333333,3,4,3,3.33333333333333,2.75,199,2,1,3,99,2,36
1,1.66666666666667,5,4.33333333333333,1.66666666666667,3,1.33333333333333,2,5,1.75,200,2,9,1,6,0,14
1,2.66666666666667,4,3.66666666666667,3,3.75,2.66666666666667,2.5,4.33333333333333,1.75,201,1,9,1,9,20,9
2,1,4,3,3,3.75,1.66666666666667,1,5,4,202,2,4,1,17,10,5
1,1.66666666666667,4.75,4.33333333333333,4.33333333333333,5,4,2,3.66666666666667,1.25,203,2,9,3,17,1,0
1,2,4,4,3,2.5,3,2,4,3,204,2,1,4,10,6,5
2,2.66666666666667,4,1,3.66666666666667,4.75,2.33333333333333,1,4.66666666666667,2.25,205,2,1,4,22,1,22
1,1,4,4.66666666666667,3.33333333333333,3.75,4,4,4,3.75,206,2,1,4,9,15,0
1,1.33333333333333,4,5,1.66666666666667,2.25,1,1,2.66666666666667,1.75,207,2,3,4,10,15,0
3,2.66666666666667,3,2.66666666666667,4.66666666666667,4.5,2.66666666666667,2,4,1,208,2,2,4,46,33,0
2,2.66666666666667,4.25,2,1.66666666666667,1.25,1,3,4.33333333333333,3.25,209,2,8,4,10,5,192
1,2.33333333333333,5,4.33333333333333,1.66666666666667,3.5,2,1,2.66666666666667,2.25,210,2,9,4,21,9,24
1,2.33333333333333,4,4.33333333333333,2.66666666666667,4,3.33333333333333,2,3.66666666666667,1.5,211,2,8,4,9,1,0
2,3,4.5,3.33333333333333,4,4.75,4,2,4,1.75,212,2,8,4,10,0,28
1,1.66666666666667,3.25,5,3,3.25,2.33333333333333,1,3.33333333333333,2.25,213,2,9,4,9,26,31
2,2.33333333333333,3.75,3.33333333333333,2.33333333333333,2.75,3,2,3.66666666666667,2.25,214,1,3,3,16,0,4
1,1.66666666666667,3.5,4,4,3.5,3.66666666666667,3,4,1.5,215,2,1,4,10,0,9
2,2.66666666666667,4,3,3,3.75,2.66666666666667,2,4,2.75,216,1,3,4,81,4,6
2,1.33333333333333,4.75,3.33333333333333,3,4,3.33333333333333,2,4.33333333333333,2.5,217,2,2,4,10,0,10
1,2,4,4,2.33333333333333,2.5,1.66666666666667,2,5,3.25,218,1,1,4,34,4,36
